EB Cry ( 0 events) was calibrated to avg: -51, 130, hash: 12369	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 181, hash: 12420	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 182, hash: 12421	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 183, hash: 12422	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 184, hash: 12423	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -51, 185, hash: 12424	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -49, 65, hash: 13024	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -48, 166, hash: 13485	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -45, 129, hash: 14528	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -45, 240, hash: 14639	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -45, 326, hash: 14725	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -45, 327, hash: 14726	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -45, 328, hash: 14727	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -45, 329, hash: 14728	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -45, 330, hash: 14729	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -44, 326, hash: 15085	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -44, 327, hash: 15086	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -44, 328, hash: 15087	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -44, 329, hash: 15088	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -44, 330, hash: 15089	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -43, 74, hash: 15193	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -43, 326, hash: 15445	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -43, 327, hash: 15446	 Calib: -1	 Error: -1
